leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
2015,Finland,Pertti Kurikan Nimipäivät,Aina Mun Pitää,38.0,,https://youtube.com/watch?v=v4Y0HOPL5GU
2015,San Marino,Michele Perniola & Anita Simoncini,Chain Of Lights,39.0,,https://youtube.com/watch?v=FE1KJYNvVAE
2015,Switzerland,Mélanie René,Time To Shine,40.0,,https://youtube.com/watch?v=ya1r_nFHiCQ
2016,Ukraine,Jamala,1944,1.0,534.0,https://youtube.com/watch?v=B-rnM-MwRHY
2016,Australia,Dami Im,Sound of Silence,2.0,511.0,https://youtube.com/watch?v=5ymFX91HwM0
2016,Russia,Sergey Lazarev,You Are the Only One,3.0,491.0,https://youtube.com/watch?v=e94dst20C9Y
2016,Bulgaria,Poli Genova,If Love Was a Crime,4.0,307.0,https://youtube.com/watch?v=PQqUTigWKHY
2016,Sweden,Frans,If I Were Sorry,5.0,261.0,https://youtube.com/watch?v=2AIPrVchJN8
2016,France,Amir,J'ai Cherché,6.0,257.0,https://youtube.com/watch?v=-aLPsiyavcU
2016,Armenia,Iveta Mukuchyan,LoveWave,7.0,249.0,https://youtube.com/watch?v=nL066Rp7J7k
2016,Poland,Michał Szpak,Color of Your Life,8.0,229.0,https://youtube.com/watch?v=87BBmxm7IJU
2016,Lithuania,Donny Montell,I've Been Waiting for This Night,9.0,200.0,https://youtube.com/watch?v=O1wS7NNCo38
2016,Belgium,Laura Tesoro,What's the Pressure,10.0,181.0,https://youtube.com/watch?v=xDBjhAGaeWg
